Type,AccountName,AccountCode,Account Groups Name,Book Accounts Name,Email Id,Address1,Address2,Address3,Maintain Balance bill by bill,Party Master Code,HLL Code,TIN Number
L,GOKUL MEDICAL*KUBERNAGAR*-D-D-D,P297,Sundry Debtor,Assets,null,5-6Bhaichand Nagar,Near Patel PanNear AshramKatargam,KATARGAMSURAT,Billwise,P297,HUL-101471D-MSA2818,1111
L,SAHAJ MEDICAL &amp; GEN*KATARGAM*D*-D-D,P298,Sundry Debtor,Assets,null,2 PRATIBHA APT. DAIRY FALIYA,KATARGAM,NA,Billwise,P298,HUL-101471D-MSA166,24222703240
L,MATAJI MEDICAL &amp; GEN STO*SINGANPUR*-D-D-D,P299,Sundry Debtor,Assets,null,SHOP NO 78SINGANPUR SHOPPING CENTER,MADHAV PARK SOCIETY SINGANPUR,,Billwise,P299,HUL-101471D-P13799,24222602306
L,YANA MEDICALS &amp; GEN. STO.*KATARGAM-D-D-D,P300,Sundry Debtor,Assets,null,A-1MEERA NAGAR SOC.,AMBA TALAVNR-DABHOLI LALITA CHOKDI,SURAT,Billwise,P300,HUL-133100P929,APPLIED FOR
L,KRISHNA MEDICAL *DABHOLI*-D-D-D,P301,Sundry Debtor,Assets,hiteshkalsariya1979@gmail.com,1MADHAV7GULABWADI OPP.GOVINDJI HALL,DABHOLI ROAD,SURAT,Billwise,P301,HUL-101471D-MSA1527,24222601421
L,SHRI RANG AVDHOOT MED *KATARGAM*-D-D-D,P302,Sundry Debtor,Assets,null,Shop 4 Nirmal Appt,KATARGAM Katagam Opp Bus Stop,NA,Billwise,P302,HUL-101471D-MSA1940,24222702664
L,ADARSH MEDICAL*AMROLI*SMART*-D-D-D,P303,Sundry Debtor,Assets,null,19RATNAMALA COMPLEXB/H GAJERA SCHOOL,AMROLI ROAD KATARGAM,NA,Billwise,P303,HUL-101471D-MSA782,11111
L,SAYONA MEDICAL &amp; GENERAL STORE-D-D-D-D,P304,Sundry Debtor,Assets,null,SHOP NO-3121SHRUTI ROW HOUSE,AMROLI,KOSAD,Billwise,P304,HUL-134508D-P10148,---
L,RADHE MED STO*KATARGAM*-D-D-D,P305,Sundry Debtor,Assets,null,10SHAKTI NAGAR SOCIETY,PEOPLES CHARRASTA,KATARGAM,Billwise,P305,HUL-101471D-P15906,NO
L,BHERUJI MEDICAL STORE-D-D-D-D,P306,Sundry Debtor,Assets,null,PLOT NO. 47,DABHOLI CHAR RASTA,NR. MATESHREE MEDICAL,Billwise,P306,HUL-132967P3852,NA
L,BHUMI PUJA MEDICAL &amp;  GEN STORE  -D-D,P307,Sundry Debtor,Assets,null,21  BHUMI PUJA  SOCITY,ABA TALAWADI KATARGAM,SURAT,Billwise,P307,HUL-134083D-P46856,NA
L,KANAIYA MED STO*KATARGAM*-P-D-D,P308,Sundry Debtor,Assets,lathiyanirav001@gmail.com,B/47RAMNAGAR SOC,LAXMIKANT ASHARAM ROADKATARGAM,NA,Billwise,P308,HUL-101471P-MSA1130,24222703253
L,SHREE AAEJI MEDICAL &amp; GENERAL STORE-D-D-D,P309,Sundry Debtor,Assets,null,SHOP NO.1/2 SHIV RECIDENCY,HARIDARSHAN SOCITYJAHANGIRPURA,BRIJ ROAD DABHOLI,Billwise,P309,HUL-134083D-P52131,N.A
L,SHREEJI AYURVEDIC &amp; COSMETIC*KATARGAM*-D-D-D,P310,Sundry Debtor,Assets,null,SHOP NO 4DANGIGEV COMPLEX,GAYATRI SOCIETYOPP PEOPLES BANK,NEAR ALPESH TRADERS,Billwise,P310,HUL-101471D-P15703,24722704233
L,Alisha Cosmetics-D-P-D,P311,Sundry Debtor,Assets,null,2dulexavenue,Nreagletailor,Morabhagalrandet,Billwise,P311,HUL-10A225D-P62439,1
L,AMIDHARA MED*MAGAN NAGAR*-D-D-D,P312,Sundry Debtor,Assets,null,PANCHWATI SOCIETYSHOP NO 2,MAGAN NAGAR,NA,Billwise,P312,HUL-101471D-MSA1210,24222703410
L,AMBIKA MEDICAL STORE(UNICARE)-D-D-D-D-D-D-D,P313,Sundry Debtor,Assets,null,GL-2CENTER POINT,NRVISHAL NAGARADAJAN ROAD,SURAT,Billwise,P313,HUL-132638D-D0924,24220200647
L,HARE KRISHANA CHEMIST*VED ROAD*D*-D-D,P314,Sundry Debtor,Assets,null,1GANSHYAM COMPLEXVED ROAD,VALINATH CHOWK,NA,Billwise,P314,HUL-101471D-MSA2670,1111
L,SURAJ CHEMIST-D-D,P315,Sundry Debtor,Assets,null,28/DNAKSHATRA SOC,KENAL ROAD,SURAT,Billwise,P315,HUL-134996D-P14975,---
L,SHREE RAGUVIR MEDICAL &amp; GENERAL STORE-D-D,P316,Sundry Debtor,Assets,null,B-53PARAS SOC,KATARGAM ROAD,SURAT,Billwise,P316,HUL-133343D-P17191,APPLYED
L,Madhavdeep Medical Store-D,P317,Sundry Debtor,Assets,null,18 Mangal Murti Appt.,Narayan Nagar Singhanpor Road,Katargam,Billwise,P317,HUL-133548D-P16363,NA
L,Axar MEDICAL-D,P318,Sundry Debtor,Assets,null,Grond Floor,New Gidc Road Bihed Sagar Medical,Katargam,Billwise,P318,HUL-10A225D-P63664,1
L,SHREE MARUTI CHEMIST &amp; GEN STORES-D-D,P319,Sundry Debtor,Assets,null,6-TIRUPATI APPT,CHAPRABHATHA ROAD,AMROLI,Billwise,P319,HUL-134083D-P10835,24222500402
L,Shree Satyam Medical Store,P320,Sundry Debtor,Assets,null,123 Shop No.4 Prabhunagar-1,Nr. Udayeshvar Mahadev Mandir,Nr. Udayeshvar Mahadev Mand,Billwise,P320,HUL-134083D-P46035,NA
L,TIRUPATI MEDICAL &amp; GEN-D-D,P321,Sundry Debtor,Assets,null,3-RISHIKESH RESIDENCY,CHAPRABHATHA ROAD,S,Billwise,P321,HUL-134083D-P10940,NA
L,Shreenath Ice Cream &amp; Food-D,P322,Sundry Debtor,Assets,null,Shop No.27 Raghuvir Symphony Shoppers,Althan Canal Road,Althan,Billwise,P322,HUL-10A176D-P67432,1
L,Heaven Medical-D,P323,Sundry Debtor,Assets,null,Shop No 7 Mansarovar Complex,Amroli Surat,Kosad  Road,Billwise,P323,HUL-10A225D-P63667,1
L,ASHIRWAD CHEMIST-D-D-D-D,P324,Sundry Debtor,Assets,null,345 KUBER PARK SOC.,SHOP NO-7 OPP.,HARI OM MILL VED RD,Billwise,P324,HUL-134083D-P56036,NA
L,Shivam Medical 2-D,P325,Sundry Debtor,Assets,null,Shop No . 2652,Chhannu Colony,Tarvadi,Billwise,P325,HUL-10A225D-P63668,1
L,MADHURAM MEDICAL-D-P-D,P326,Sundry Debtor,Assets,null,GAYATRI SOC,OPP-CITY SQURE,ADAJAN,Billwise,P326,HUL-134996D-P23251,---
L,Dhruv CHEMIST  P--D-D-D-D-D-D,P327,Sundry Debtor,Assets,null,MOTAVAD MOHLLO,MORA DAMKA ROAD,MORA TEKRA HAJIRA ROAD,Billwise,P327,HUL-133172D-P3619,24220202358
L,Raj Chemist-D,P328,Sundry Debtor,Assets,null,Shop 14 Gruhum Plaza,Opp  Kosad Lake Garden,Kosad,Billwise,P328,HUL-10A225D-P63680,1
L,SOHAM MEDICAL STORE-D-D-D,P329,Sundry Debtor,Assets,null,KUBAR  NAGAR  KATARGAM,DARWAJA MITRA CHENAL,KATARGAM SURAT,Billwise,P329,HUL-134083D-P60081,NO
L,SAHJANAND CHEMIST-D,P330,Sundry Debtor,Assets,null,SHOP NO.4 CHINTAN APT.,VED ROAD,SURAT,Billwise,P330,HUL-133100P1057,NA
L,ADARSH CHEMIST*MAGAN NAGAR-D,P331,Sundry Debtor,Assets,null,SHOP NO 3SARDAR COMPLEX,VIBHAG BMAGAN NAGAR 2NR SHUBHAM MED,KATARGAM,Billwise,P331,HUL-101471D-P15676,NO
